ts,time,TAC,blocked,cutoff,volte,msg,tot,tot_c
1018000,10/18/2018 0:00,27214,33,66,9480,825,23601,0.995805262
1018000,10/18/2018 0:00,28672,0,0,288,6,678,1
1018000,10/18/2018 0:00,28681,26,160,25916,1415,64387,0.997111218
1018000,10/18/2018 0:00,28682,91,154,56631,2407,130344,0.998120358
1018000,10/18/2018 0:00,28683,130,91,31625,964,74999,0.997053294
1018000,10/18/2018 0:00,28684,168,158,54306,1812,135796,0.99759934
1018000,10/18/2018 0:00,28685,140,259,52281,2291,134057,0.997023654
1018000,10/18/2018 0:00,28688,174,166,46235,1919,106692,0.996813257
1018000,10/18/2018 0:00,29449,95,289,10929,586,28703,0.986621607
1018000,10/18/2018 0:00,29465,17,123,5078,361,12699,0.98897551
1018001,10/18/2018 0:10,27214,33,96,8760,909,22092,0.994160782
1018001,10/18/2018 0:10,28672,0,0,294,6,786,1
1018001,10/18/2018 0:10,28681,61,229,23416,1679,61678,0.995298161
1018001,10/18/2018 0:10,28682,108,194,52537,2118,125312,0.997590015
1018001,10/18/2018 0:10,28683,25,126,27179,653,68829,0.997806157
1018001,10/18/2018 0:10,28684,92,347,49210,1724,126126,0.996519354
1018001,10/18/2018 0:10,28685,141,234,49042,1940,126832,0.997043333
1018001,10/18/2018 0:10,28688,142,154,45828,1698,105636,0.997197925
1018001,10/18/2018 0:10,29449,222,221,11231,367,28163,0.984270142
1018001,10/18/2018 0:10,29465,21,35,4471,276,11535,0.99514521
1018002,10/18/2018 0:20,27214,27,54,7887,726,20577,0.996063566
1018002,10/18/2018 0:20,28672,0,6,312,60,972,0.99382716
1018002,10/18/2018 0:20,28681,97,135,24503,1565,58704,0.996047969
1018002,10/18/2018 0:20,28682,243,196,48201,1713,119715,0.996332957
1018002,10/18/2018 0:20,28683,44,110,26488,749,66469,0.99768313
1018002,10/18/2018 0:20,28684,67,232,45460,1497,119072,0.997488914
1018002,10/18/2018 0:20,28685,182,223,46331,1985,125320,0.996768273
1018002,10/18/2018 0:20,28688,217,304,43785,1715,104924,0.995034501
1018002,10/18/2018 0:20,29449,222,183,10283,538,26868,0.984926306
1018002,10/18/2018 0:20,29465,8,31,4331,280,10957,0.996440632
1018003,10/18/2018 0:30,27214,66,183,8421,678,21375,0.988350877
1018003,10/18/2018 0:30,28672,6,6,324,6,822,0.98540146
